Conta,Data_Utc,Categoria,Count,Usage,Price_USD,Range,Extraido_Utc
Bernardo,2026-08-01,sms,60039,60196,180.083060,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Bernardo,2026-07-31,sms,72334,72572,217.597600,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Rafa,2026-08-01,totalprice,0,1515.7537,1515.753740,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Rafa,2026-07-31,totalprice,0,1913.0762,1913.076230,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Rafa,2026-08-01,sms,208846,209502,631.096940,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Rafa,2026-07-31,sms,265230,266587,801.888630,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Havenmove,2026-08-01,totalprice,0,247.0898,247.089820,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Havenmove,2026-07-31,totalprice,0,935.933,935.933050,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Havenmove,2026-08-01,sms,34169,34239,102.374120,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Havenmove,2026-07-31,sms,35417,35496,106.132550,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Rehableaf,2026-08-01,totalprice,0,123.5286,123.528560,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Rehableaf,2026-07-31,totalprice,0,0,0.000000,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Rehableaf,2026-08-01,sms,17151,17196,51.416040,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Rehableaf,2026-07-31,sms,0,0,0.000000,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Richard,2026-08-01,totalprice,0,1199.1175,1199.117520,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Richard,2026-07-31,totalprice,0,3964.5131,3964.513070,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Richard,2026-08-01,sms,166399,166753,498.816660,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Richard,2026-07-31,sms,551108,552550,1652.180920,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Naturemove,2026-08-01,totalprice,0,242.5521,242.552110,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Naturemove,2026-07-31,totalprice,0,726.6762,726.676160,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Naturemove,2026-08-01,sms,34306,34350,102.706010,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
Naturemove,2026-07-31,sms,6528,6534,19.536660,StartDate=2026-07-31 EndDate=2026-08-01 UTC (cover_days; soma dias GMT tocados pela janela ~24h — alinhamento tipico a SMS Transactions / Insights Last 24h; totalprice pode diferir do cartao Total Spend),2026-08-01T19:33:44Z
